model,method,class,node,fidelity_plus,fidelity_minus,sparsity,n_high_imp_edges,avg_importance
graphsage,pg,illicit,179187,0.04389148950576782,0.0,0.9500032002730899,91,0.8098333477973938
graphsage,pg,illicit,157681,0.0,0.0,0.9500032002730899,58,0.9353986382484436
graphsage,pg,illicit,136312,0.09918522834777832,-0.0014163851737976074,0.9500032002730899,48,0.8727267384529114
graphsage,pg,illicit,189916,9.059906005859375e-06,0.0,0.9500032002730899,52,0.9628967046737671
graphsage,pg,illicit,148166,0.002274036407470703,0.0,0.9500032002730899,200,0.854772686958313
graphsage,pg,licit,157133,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,157432,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,179604,0.043118834495544434,-1.1920928955078125e-07,0.9500032002730899,0,0.00047252417425625026
graphsage,pg,licit,155599,0.06491464376449585,0.0,0.9500032002730899,0,0.0008509233011864126
graphsage,pg,licit,176246,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,151693,-3.898143768310547e-05,0.0,0.9500032002730899,0,7.476167254716337e-12
graphsage,pg,licit,154673,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,157158,0.0,0.0,0.9500032002730899,33,0.13159838318824768
graphsage,pg,licit,199344,0.0,0.0,0.9500032002730899,6,0.7271431088447571
graphsage,pg,licit,155748,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,167910,0.0,0.0,0.9500032002730899,52,0.30491214990615845
graphsage,pg,licit,202016,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,199333,0.0003046393394470215,0.0,0.9500032002730899,0,0.0037312947679311037
graphsage,pg,licit,179576,0.0,0.0,0.9500032002730899,1,0.1837475746870041
graphsage,pg,licit,174173,0.24186021089553833,0.008369982242584229,0.9500032002730899,3,0.07090770453214645
graphsage,pg,licit,174960,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,142838,0.0,0.0005263686180114746,0.9500032002730899,0,2.976999113888765e-20
graphsage,pg,licit,167040,-0.016934752464294434,0.014919579029083252,0.9500032002730899,4,0.10645458847284317
graphsage,pg,licit,161612,0.0,0.0,0.9500032002730899,34,0.27123764157295227
graphsage,pg,licit,161966,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,184625,0.0,0.0,0.9500032002730899,8,0.8260003924369812
graphsage,pg,licit,136420,0.0,0.0,0.9500032002730899,0,0.0
graphsage,pg,licit,180653,0.0025013089179992676,0.0,0.9500032002730899,0,0.029537327587604523
graphsage,pg,licit,185258,-2.384185791015625e-07,0.00013506412506103516,0.9500032002730899,0,0.012634766288101673
graphsage,pg,licit,179834,0.0,0.0,0.9500032002730899,0,0.0
